noma,gender,status,course,year,session1,session2
ST82865315,M,,WSBIM1207,2020,16,NA
NT97346214,F,,WSBIM1207,2020,4,0
NO55020162,M,,WSBIM1207,2020,4,15
HU17649682,F,,WSBIM1207,2020,6,14
LK25935074,F,,WSBIM1207,2020,10,NA
ZK18697397,F,,WSBIM1207,2020,3,1
TZ16631905,F,,WSBIM1207,2020,0,19
ZP44293817,F,,WSBIM1207,2020,2,9
HT84426250,M,,WSBIM1207,2020,0,8
YG04591228,M,,WSBIM1207,2020,9,4
SH25293429,F,,WSBIM1207,2020,8,2
YK61464384,M,,WSBIM1207,2020,13,NA
CT68843126,F,,WSBIM1207,2020,9,10
MK38761859,M,,WSBIM1207,2020,1,0
UN56466964,F,,WSBIM1207,2020,10,NA
MY89808994,F,,WSBIM1207,2020,9,16
HR27750968,F,,WSBIM1207,2020,2,9
SP71435392,F,,WSBIM1207,2020,1,8
OY49722824,M,,WSBIM1207,2020,7,10
GM68234284,F,,WSBIM1207,2020,10,NA
RB61866310,F,,WSBIM1207,2020,6,4
SJ83832431,F,,WSBIM1207,2020,6,16
LC82941802,M,,WSBIM1207,2020,8,7
UT81922620,F,,WSBIM1207,2020,0,6
BY05517830,M,,WSBIM1207,2020,10,NA
EM52424891,F,,WSBIM1207,2020,9,1
GO87407918,M,,WSBIM1207,2020,3,8
VM26661454,F,,WSBIM1207,2020,15,NA
NV21497791,F,,WSBIM1207,2020,3,6
DB53415867,F,,WSBIM1207,2020,5,6
RZ73354764,F,,WSBIM1207,2020,1,10
NY57808655,M,PEPS,WSBIM1207,2020,9,14
WL73755510,F,,WSBIM1207,2020,2,17
KU27596396,F,,WSBIM1207,2020,8,3
BH93133143,M,,WSBIM1207,2020,14,NA
DJ97490409,F,,WSBIM1207,2020,12,NA
CN31885011,M,,WSBIM1207,2020,14,NA
LF32271478,F,,WSBIM1207,2020,11,NA
IW64677545,M,PEPS,WSBIM1207,2020,13,NA
ZO98581660,M,,WSBIM1207,2020,15,NA
IG79541896,M,,WSBIM1207,2020,7,19
XZ79311597,M,,WSBIM1207,2020,5,13
OX44427633,F,,WSBIM1207,2020,12,NA
VY35465669,M,,WSBIM1207,2020,5,16
TR17940288,F,,WSBIM1207,2020,4,7
DF28984349,F,PEPS,WSBIM1207,2020,14,NA
BR35039625,M,,WSBIM1207,2020,0,17
EE81800806,F,,WSBIM1207,2020,8,19
DY89969616,M,,WSBIM1207,2020,6,8
JM39087996,F,,WSBIM1207,2020,13,NA
IT26292798,M,,WSBIM1207,2020,4,10
RU61666001,F,,WSBIM1207,2020,15,NA
NA09589331,M,,WSBIM1207,2020,13,NA
MW41183598,M,,WSBIM1207,2020,15,NA
LS54874438,F,,WSBIM1207,2020,8,10
BZ82931813,F,PEPS,WSBIM1207,2020,14,NA
VM21588752,M,,WSBIM1207,2020,13,NA
ZG90236490,F,,WSBIM1207,2020,6,7
QA93635889,M,,WSBIM1207,2020,11,NA
PE02818674,F,,WSBIM1207,2020,15,NA
ZK18697397,F,,WSBIM1207,2021,12,NA
MK38761859,M,,WSBIM1207,2021,5,13
BN70620930,M,PEPS,WSBIM1207,2021,15,NA
PJ12076259,F,,WSBIM1207,2021,8,6
NT97346214,F,,WSBIM1207,2021,2,14
MZ42022334,F,,WSBIM1207,2021,10,NA
UT81922620,F,,WSBIM1207,2021,3,9
NV21497791,F,,WSBIM1207,2021,10,NA
SP71435392,F,,WSBIM1207,2021,13,NA
SH25293429,F,,WSBIM1207,2021,9,5
QI79817359,F,,WSBIM1207,2021,3,12
DY89969616,M,,WSBIM1207,2021,15,NA
PN16832674,F,,WSBIM1207,2021,6,6
ZP44293817,F,,WSBIM1207,2021,8,9
AN47564272,M,,WSBIM1207,2021,8,9
IB39390978,F,,WSBIM1207,2021,16,NA
JO21440917,F,,WSBIM1207,2021,6,2
EM52424891,F,,WSBIM1207,2021,5,1
YB67582926,M,,WSBIM1207,2021,6,0
SW01793962,F,,WSBIM1207,2021,15,NA
RB61866310,F,,WSBIM1207,2021,10,NA
QA05117117,M,,WSBIM1207,2021,16,NA
KU27596396,F,,WSBIM1207,2021,10,NA
AL60104328,F,,WSBIM1207,2021,4,4
HT84426250,M,,WSBIM1207,2021,16,NA
GO87407918,M,,WSBIM1207,2021,14,NA
ME25489892,F,PEPS,WSBIM1322,2021,10,NA
KW74380574,M,,WSBIM1322,2021,4,11
KT71520338,F,,WSBIM1322,2021,5,1
QV94520327,F,,WSBIM1322,2021,6,7
VM99492297,M,,WSBIM1322,2021,14,NA
II44784773,F,,WSBIM1322,2021,14,NA
DS52304686,F,,WSBIM1322,2021,13,NA
AM07494518,F,,WSBIM1322,2021,10,NA
PZ38435280,M,,WSBIM1322,2021,3,14
ME79891071,M,,WSBIM1322,2021,2,1
II46898366,M,,WSBIM1322,2021,11,NA
AR95043354,F,,WSBIM1322,2021,12,NA
UV88851833,F,,WSBIM1322,2021,4,1
PZ71270126,F,,WSBIM1322,2021,12,NA
AQ47839891,F,,WSBIM1322,2021,11,NA
QL58870676,F,,WSBIM1322,2021,14,NA
FG59521927,F,,WSBIM1322,2021,16,NA
UB79716660,F,,WSBIM1322,2021,0,12
FM29187023,F,,WSBIM1322,2021,10,NA
OU74460419,M,,WSBIM1322,2021,1,17
TD35926109,F,,WSBIM1322,2021,3,0
RB98840306,M,,WSBIM1322,2021,11,NA
JR60716857,M,,WSBIM1322,2021,14,NA
BT32155526,F,,WSBIM1322,2021,6,4
MG83759549,F,,WSBIM1322,2021,0,6
AH00973406,M,,WSBIM1322,2021,11,NA
KQ71460236,M,,WSBIM1322,2021,7,3
DY56120441,M,,WSBIM1322,2021,7,3
QO54968640,M,,WSBIM1322,2021,4,3
GH52880198,M,,WSBIM1322,2021,9,8
UQ74583903,M,,WSBIM1322,2021,4,7
QA16088325,F,,WSBIM1322,2021,11,NA
JZ27343018,F,,WSBIM1322,2021,10,NA
UJ28159345,F,,WSBIM1322,2021,9,1
EX11974897,F,,WSBIM1322,2021,0,8
MX65209930,M,,WSBIM1322,2021,11,NA
NW38220911,M,,WSBIM1322,2021,12,NA
QI95043879,M,,WSBIM1322,2021,4,6
QN29804292,M,,WSBIM1322,2021,5,18
ZX28071451,F,,WSBIM1322,2021,11,NA
HW98726470,F,PEPS,WSBIM1322,2021,4,7
UQ91557822,F,,WSBIM1322,2021,12,NA
BJ47766753,M,,WSBIM1322,2021,6,10
FN37265680,M,,WSBIM1322,2021,8,9
WS02171227,F,,WSBIM1322,2021,15,NA
ST82865315,M,,WSBIM1322,2021,15,NA
NO55020162,M,,WSBIM1322,2021,7,6
HU17649682,F,,WSBIM1322,2021,10,NA
LK25935074,F,,WSBIM1322,2021,14,NA
TZ16631905,F,,WSBIM1322,2021,15,NA
YK61464384,M,,WSBIM1322,2021,12,NA
CT68843126,F,,WSBIM1322,2021,14,NA
UN56466964,F,,WSBIM1322,2021,16,NA
MY89808994,F,,WSBIM1322,2021,3,7
OY49722824,M,,WSBIM1322,2021,13,NA
GM68234284,F,,WSBIM1322,2021,5,9
SJ83832431,F,,WSBIM1322,2021,2,9
BY05517830,M,,WSBIM1322,2021,7,16
VM26661454,F,,WSBIM1322,2021,1,2
RZ73354764,F,,WSBIM1322,2021,5,2
NY57808655,M,PEPS,WSBIM1322,2021,4,5
WL73755510,F,,WSBIM1322,2021,14,NA
BH93133143,M,,WSBIM1322,2021,5,2
DJ97490409,F,,WSBIM1322,2021,2,4
CN31885011,M,,WSBIM1322,2021,14,NA
LF32271478,F,,WSBIM1322,2021,9,10
IW64677545,M,PEPS,WSBIM1322,2021,14,NA
ZO98581660,M,,WSBIM1322,2021,12,NA
IG79541896,M,,WSBIM1322,2021,1,0
XZ79311597,M,,WSBIM1322,2021,4,11
OX44427633,F,,WSBIM1322,2021,13,NA
VY35465669,M,,WSBIM1322,2021,6,7
DF28984349,F,PEPS,WSBIM1322,2021,6,8
BR35039625,M,,WSBIM1322,2021,14,NA
EE81800806,F,,WSBIM1322,2021,8,7
JM39087996,F,,WSBIM1322,2021,16,NA
IT26292798,M,,WSBIM1322,2021,15,NA
RU61666001,F,,WSBIM1322,2021,7,5
NA09589331,M,,WSBIM1322,2021,2,15
MW41183598,M,,WSBIM1322,2021,9,0
LS54874438,F,,WSBIM1322,2021,12,NA
BZ82931813,F,PEPS,WSBIM1322,2021,10,NA
VM21588752,M,,WSBIM1322,2021,6,7
QA93635889,M,,WSBIM1322,2021,16,NA
PE02818674,F,,WSBIM1322,2021,1,4
ZK18697397,F,,WSBIM1322,2022,8,8
MK38761859,M,,WSBIM1322,2022,11,NA
BN70620930,M,PEPS,WSBIM1322,2022,11,NA
NT97346214,F,,WSBIM1322,2022,15,NA
MZ42022334,F,,WSBIM1322,2022,5,3
NV21497791,F,,WSBIM1322,2022,7,5
SP71435392,F,,WSBIM1322,2022,14,NA
QI79817359,F,,WSBIM1322,2022,7,1
DY89969616,M,,WSBIM1322,2022,11,NA
IB39390978,F,,WSBIM1322,2022,5,0
SW01793962,F,,WSBIM1322,2022,8,8
RB61866310,F,,WSBIM1322,2022,15,NA
QA05117117,M,,WSBIM1322,2022,11,NA
KU27596396,F,,WSBIM1322,2022,10,NA
HT84426250,M,,WSBIM1322,2022,14,NA
GO87407918,M,,WSBIM1322,2022,14,NA
IG79541896,M,,WSBIM1322,2022,12,NA
NY57808655,M,PEPS,WSBIM1322,2022,9,7
QV94520327,F,,WSBIM1322,2022,5,4
BH93133143,M,,WSBIM1322,2022,0,4
MZ42022334,F,,WSBIM1322,2023,0,7
RU61666001,F,,WSBIM1322,2022,4,9
UJ28159345,F,,WSBIM1322,2022,14,NA
SW01793962,F,,WSBIM1322,2023,8,4
DF28984349,F,PEPS,WSBIM1322,2022,3,7
QI79817359,F,,WSBIM1322,2023,15,NA
KQ71460236,M,,WSBIM1322,2022,12,NA
NV21497791,F,,WSBIM1322,2023,4,6
DJ97490409,F,,WSBIM1322,2022,1,0
BT32155526,F,,WSBIM1322,2022,3,6
HW98726470,F,PEPS,WSBIM1322,2022,7,0
FN37265680,M,,WSBIM1322,2022,10,NA
KT71520338,F,,WSBIM1322,2022,6,16
ME79891071,M,,WSBIM1322,2022,6,18
ZK18697397,F,,WSBIM1322,2023,6,8
UQ74583903,M,,WSBIM1322,2022,13,NA
ME25489892,F,PEPS,WSBIM2122,2022,15,NA
KW74380574,M,,WSBIM2122,2022,13,NA
VM99492297,M,,WSBIM2122,2022,14,NA
II44784773,F,,WSBIM2122,2022,12,NA
DS52304686,F,,WSBIM2122,2022,13,NA
AM07494518,F,,WSBIM2122,2022,13,NA
PZ38435280,M,,WSBIM2122,2022,15,NA
II46898366,M,,WSBIM2122,2022,11,NA
AR95043354,F,,WSBIM2122,2022,12,NA
PZ71270126,F,,WSBIM2122,2022,11,NA
AQ47839891,F,,WSBIM2122,2022,16,NA
